course_id,level,latest_offering,college_desc,department_desc,title_long_desc,course_text_narrative,n_unique,n_department,row_number
AHS 027 / ANTH 027 / LNST 027,Undergraduate,202240,"Humanities, Arts, and Soc Sci",Liberal Studies Program,ART OF PRE-COLUMBIAN AMERICA,"4 Units, Lecture, 3 hours, outside research, 3 hours. Prerequisite(s): none. A survey course that provides a background to the ancient art of Mexico, Central America, and the Andean region of western South America. Discusses art of pre-Columbian America according to the three broad cultural regions of Mesoamerica, the lower part of central and northwestern South America, and the Andean area.
 Cross-listed with AHS 027, and ANTH 027.",0,1,18
AHS 028 / LNST 028,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Art History,ART AND ARCHITECTURE OF LATIN AMERICA,"4 Units, Lecture, 3 hours; discussion, 1 hour; individual study, 2 hours.  Introduces Latin American art and architecture from the European conquest to the present. Topics include religious and secular art and architecture; hybridization of indigenous and imported styles; national styles after independence; Mexican murals; women artists; Latin American modernismo; and Chicano and Border art. Cross-listed with LNS T028.",1,1,19
AHS 028 / LNST 028,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Liberal Studies Program,ART AND ARCHITECTURE OF LATIN AMERICA,"4 Units, Lecture, 3 hours; discussion, 1 hour; individual study, 2 hours.  Introduces Latin American art and architecture from the European conquest to the present. Topics include religious and secular art and architecture; hybridization of indigenous and imported styles; national styles after independence; Mexican murals; women artists; Latin American modernismo; and Chicano and Border art. Cross-listed with LNS T028.",0,1,20
AHS 030 / CLA 017 / HIST 027,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Art History,ROME: THE ANCIENT CITY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. Traces the development of the city of ancient Rome. Studies the literary and historical evidence alongside the physical remains of the city including its monuments, art, and historical and archaeological remains. Seeks to introduce the Romans and their importance for later ages.     Cross-listed with AHS 030, and CLA 017. ",1,1,21
AHS 030 / CLA 017 / HIST 027,Undergraduate,202410,"Humanities, Arts, and Soc Sci",History,ROME: THE ANCIENT CITY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. Traces the development of the city of ancient Rome. Studies the literary and historical evidence alongside the physical remains of the city including its monuments, art, and historical and archaeological remains. Seeks to introduce the Romans and their importance for later ages.     Cross-listed with AHS 030, and CLA 017. ",0,1,22
AHS 030 / CLA 017 / HIST 027,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Literatures & Languages,ROME: THE ANCIENT CITY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. Traces the development of the city of ancient Rome. Studies the literary and historical evidence alongside the physical remains of the city including its monuments, art, and historical and archaeological remains. Seeks to introduce the Romans and their importance for later ages.     Cross-listed with AHS 030, and CLA 017. ",0,1,23
AHS 112 / ANTH 151 / LNST 112,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Art History,THE ART OF THE AZTEC EMPIRE,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): AHS 027/ANTH 027/LNST 027 or upper-division standing or consent of instructor.  An introduction to the art of the Aztec Empire. Studies architecture, sculpture, ceramics, painting, lapidary work, gold work, and feather work. Explores the relationship between art and ritual and art and the imperial state. Cross-listed with AHS 112 and ANTH 151.",1,1,24
AHS 112 / ANTH 151 / LNST 112,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Anthropology,THE ART OF THE AZTEC EMPIRE,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): AHS 027/ANTH 027/LNST 027 or upper-division standing or consent of instructor.  An introduction to the art of the Aztec Empire. Studies architecture, sculpture, ceramics, painting, lapidary work, gold work, and feather work. Explores the relationship between art and ritual and art and the imperial state. Cross-listed with AHS 112 and ANTH 151.",0,1,25
AHS 112 / ANTH 151 / LNST 112,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Liberal Studies Program,THE ART OF THE AZTEC EMPIRE,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): AHS 027/ANTH 027/LNST 027 or upper-division standing or consent of instructor.  An introduction to the art of the Aztec Empire. Studies architecture, sculpture, ceramics, painting, lapidary work, gold work, and feather work. Explores the relationship between art and ritual and art and the imperial state. Cross-listed with AHS 112 and ANTH 151.",0,1,26
AHS 113,Undergraduate,202310,"Humanities, Arts, and Soc Sci",Art History,SIXTEENTH-CENTURY MEXICO: AN ART OF TWO WORLDS,"4 Units,  Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor.  Explores the art of the first colonial century in Mexico. Investigates the translation of European art forms to the New World, the fate of indigenous traditions, and artistic change in the context of colonialism and evangelization.",1,1,27
AHS 114 / LNST 114,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Art History,HISTORY OF BRAZILIAN ART AND ARCHITECTURE,"4 Units,  Lecture, 3 hours; research, 1 hour; term paper, 1 hour; written work, 1 hour. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. The history of Brazilian art and architecture from the nineteenth century to present.  Explores visual culture including painting, sculpture, prints, murals, architecture, urbanism, landscape design, and installation art. Studies artworks and buildings through a social historical framework, taking into consideration topics like colonialism, modernization, underdevelopment, race, nationalism, internationalism, and globalism. Cross-listed with LNST 114.",1,1,28
AHS 114 / LNST 114,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Liberal Studies Program,HISTORY OF BRAZILIAN ART AND ARCHITECTURE,"4 Units,  Lecture, 3 hours; research, 1 hour; term paper, 1 hour; written work, 1 hour. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. The history of Brazilian art and architecture from the nineteenth century to present.  Explores visual culture including painting, sculpture, prints, murals, architecture, urbanism, landscape design, and installation art. Studies artworks and buildings through a social historical framework, taking into consideration topics like colonialism, modernization, underdevelopment, race, nationalism, internationalism, and globalism. Cross-listed with LNST 114.",0,1,29
AHS 115 / LNST 115,Undergraduate,202240,"Humanities, Arts, and Soc Sci",Art History,MODERN AND CONTEMPORARY ART OF LATIN AMERICA,"4 Units,  Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. A study of Latin American art from circa 1900 to the present. Considers national and regional histories and artistic trajectories beginning with the advent of an artistic avant-garde. Investigates the relationships between European and Latin American developments. Cross-listed with LNST 115.",1,1,30
AHS 115 / LNST 115,Undergraduate,202240,"Humanities, Arts, and Soc Sci",Liberal Studies Program,MODERN AND CONTEMPORARY ART OF LATIN AMERICA,"4 Units,  Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. A study of Latin American art from circa 1900 to the present. Considers national and regional histories and artistic trajectories beginning with the advent of an artistic avant-garde. Investigates the relationships between European and Latin American developments. Cross-listed with LNST 115.",0,1,31
AHS 120 / CPLT 111 / EUR 120 / GER 111 / MCS 178,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Art History,"BERLIN METROPOLIS IN LITERATURE, FILM, MUSIC, AND ART","4 Units, Lecture, 3 hours; screening, 3 hours. Prerequisite(s):  Restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. An introduction to the metropolis Berlin as a gateway between the East and West.  Explores topography of the city through film, art, music, and literary texts.  Considers Berlin's dramatic transformations as a microcosm of Germany and Europe's troubled history in the twentieth century.  Course conducted in English.     Cross-listed with AHS 120, CPLT 111, EUR 120, and GER 111. ",1,1,32
AHS 120 / CPLT 111 / EUR 120 / GER 111 / MCS 178,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Literatures & Languages,"BERLIN METROPOLIS IN LITERATURE, FILM, MUSIC, AND ART","4 Units, Lecture, 3 hours; screening, 3 hours. Prerequisite(s):  Restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. An introduction to the metropolis Berlin as a gateway between the East and West.  Explores topography of the city through film, art, music, and literary texts.  Considers Berlin's dramatic transformations as a microcosm of Germany and Europe's troubled history in the twentieth century.  Course conducted in English.     Cross-listed with AHS 120, CPLT 111, EUR 120, and GER 111. ",0,1,33
AHS 120 / CPLT 111 / EUR 120 / GER 111 / MCS 178,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Media and Cultural Studies,"BERLIN METROPOLIS IN LITERATURE, FILM, MUSIC, AND ART","4 Units, Lecture, 3 hours; screening, 3 hours. Prerequisite(s):  Restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. An introduction to the metropolis Berlin as a gateway between the East and West.  Explores topography of the city through film, art, music, and literary texts.  Considers Berlin's dramatic transformations as a microcosm of Germany and Europe's troubled history in the twentieth century.  Course conducted in English.     Cross-listed with AHS 120, CPLT 111, EUR 120, and GER 111. ",0,1,34
AHS 124 / LNST 124,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Art History,CONCEPTUAL ART IN LATIN AMERICA,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. Considers conceptual art made across Latin America, from 1960s to present. Focuses on subversive strategies artists developed to critique military dictatorships then in power, while circumventing legalized censorship. Considers localized versions of conceptual art in Santiago, Buenos Aires, Rio de Janeiro, Havana, Mexico City, and situate them within international movement. Cross-listed with AHS 124.",1,1,35
AHS 124 / LNST 124,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Liberal Studies Program,CONCEPTUAL ART IN LATIN AMERICA,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. Considers conceptual art made across Latin America, from 1960s to present. Focuses on subversive strategies artists developed to critique military dictatorships then in power, while circumventing legalized censorship. Considers localized versions of conceptual art in Santiago, Buenos Aires, Rio de Janeiro, Havana, Mexico City, and situate them within international movement. Cross-listed with AHS 124.",0,1,36
AHS 125,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Art History,ILLUSTRATIONS AND ILLUMINATIONS: THE ARTS OF THE BOOK IN THE ISLAMIC WORLD,"4 Units, Lecture, 3 hours; written work, 3 hours. Prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. Introduction to manuscript production in the Islamic world from simple Qur'ans to opulent manuscripts illustrating Persian literature. Explores the centrality of manuscripts in Islamic artistic culture. Topics include calligraphy, painting styles, patronage,  workshop organization, the production of knowledge, conceptions of the artist, and the relationship between word and image.",1,1,37
AHS 126,Undergraduate,202310,"Humanities, Arts, and Soc Sci",Art History,SULTANS AND SAINTS: THE VISUAL AND MATERIAL CULTURE OF ISLAM IN SOUTH ASIA,"4 Units, Lecture, 3 hours; written work, 3 hours. Prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. Introduction to the art and architecture of Muslim dynasties in South Asia from the eighth to the eighteenth century. Explores the centrality of manuscripts in Islamic artistic culture. Studies the movement and settlement of religious, political, and intellectual elites throughout the Subcontinent and the buildings and objects they commissioned.    ",1,1,38
AHS 136 / MCS 137,Undergraduate,202330,"Humanities, Arts, and Soc Sci",Art History,HISTORY OF VIDEO ART,"4 Units, Lecture, 3 hours; screening, 3 hours. Prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior. Traces the evolution of video art from the invention of the Portapak and early video collectives to the current ubiquity of video installation, single-channel, and multimedia art.  Emphasizes video art in the United States.     Cross-listed with AHS 136. ",1,1,39
AHS 136 / MCS 137,Undergraduate,202330,"Humanities, Arts, and Soc Sci",Media and Cultural Studies,HISTORY OF VIDEO ART,"4 Units, Lecture, 3 hours; screening, 3 hours. Prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior. Traces the evolution of video art from the invention of the Portapak and early video collectives to the current ubiquity of video installation, single-channel, and multimedia art.  Emphasizes video art in the United States.     Cross-listed with AHS 136. ",0,1,40
AHS 139 / AST 139,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Art History,THE ARTS OF BUDDHISM,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s):  Restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. Explores the history, concepts, and arts of Buddhism.  Emphasizes the transmission and cultural translation of pictorial arts within Asia and to Western worlds.     Cross-listed with AHS 139. ",1,1,41
AHS 139 / AST 139,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Liberal Studies Program,THE ARTS OF BUDDHISM,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s):  Restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. Explores the history, concepts, and arts of Buddhism.  Emphasizes the transmission and cultural translation of pictorial arts within Asia and to Western worlds.     Cross-listed with AHS 139. ",0,1,42
AHS 140,Undergraduate,202320,"Humanities, Arts, and Soc Sci",Art History,ARTS OF THE SILK ROAD,"4 Units, Lecture, 3 hours; written work, 3 hours. Prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. An exploration of visual and material cultures across the Silk Road network.  Emphasizes the intersection of local and global spanning the Eurasian region from antiquity to the medieval period.    ",1,1,43
AHS 141,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Art History,THE MONGOL EMPIRE: THE WORLD OF GENGHIS KHAN AND HIS DESCENDANTS,"4 Units, Lecture, 3 hours; written work, 3 hours. Prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. An exploration of artistic and architectural developments in the Mongol Empire (1206-1368), the largest contiguous land empire in world history.    ",1,1,44
AHS 144 / AST 144,Undergraduate,202310,"Humanities, Arts, and Soc Sci",Art History,ARTS OF JAPAN,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. Major developments in the arts of Japan from the prehistoric to the contemporary period. Emphasizes the social and cultural contexts of religious art, architecture, and master artists through history, with a brief introduction to contemporary art and pop culture. Cross-listed with AHS 144.",1,1,45
AHS 144 / AST 144,Undergraduate,202310,"Humanities, Arts, and Soc Sci",Liberal Studies Program,ARTS OF JAPAN,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. Major developments in the arts of Japan from the prehistoric to the contemporary period. Emphasizes the social and cultural contexts of religious art, architecture, and master artists through history, with a brief introduction to contemporary art and pop culture. Cross-listed with AHS 144.",0,1,46
AHS 156,Undergraduate,202140,"Humanities, Arts, and Soc Sci",Art History,MEMORY OF EMPIRE: THE ART OF EARLY MEDIEVAL EUROPE,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. Covers manuscript illumination, barbarian jewelry, architecture, and sculpture from the fall of the Roman Empire and through the Carolingian Empire up to the tenth century. Stresses the interplay between indigenous Germanic and foreign classical traditions.",1,1,47
AHS 158,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Art History,SELF-PORTRAITS:  RENAISSANCE TO CONTEMPORARY ART,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior or senior standing; or consent of instructor. Introduces the history, theory, and practice of self-portraiture in Western art, from its beginnings in Antiquity to contemporary works. Discusses concepts of identity, 'self-fashioning', and artistic thinking chronologically. Introduces major works of art and important interpretations/methods of art history.",1,1,48
AHS 160,Undergraduate,202240,"Humanities, Arts, and Soc Sci",Art History,RENAISSANCE ARCHITECTURE,"4 Units, Lecture, 3 hours; term paper, 3 hours. Prerequisite(s):  Restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. An introduction to architecture in the period 1400-1600. Explores the major ideas and trends in architecture that took form in this period, including the architects and the ideas that motivated them in their historical context.    ",1,1,49
AHS 165 / GSST 170 / HISE 133,Undergraduate,202330,"Humanities, Arts, and Soc Sci",Art History,"WOMEN ARTISTS IN RENAISSANCE EUROPE, 1400-1600","4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): restricted to class level standing of sophomore, junior, or senior. Surveys the lives and work of women artists in Renaissance Europe. Considers circumstances under which it was possible for women to become artists; how they evolved from practicing in the cloistered convent to participating in the competitive public market place; what they painted; and who their patrons were. Cross-listed with AHS 165, and GSST 170.",1,1,50
AHS 165 / GSST 170 / HISE 133,Undergraduate,202330,"Humanities, Arts, and Soc Sci",Gender and Sexuality Studies,"WOMEN ARTISTS IN RENAISSANCE EUROPE, 1400-1600","4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): restricted to class level standing of sophomore, junior, or senior. Surveys the lives and work of women artists in Renaissance Europe. Considers circumstances under which it was possible for women to become artists; how they evolved from practicing in the cloistered convent to participating in the competitive public market place; what they painted; and who their patrons were. Cross-listed with AHS 165, and GSST 170.",0,1,51
AHS 165 / GSST 170 / HISE 133,Undergraduate,202330,"Humanities, Arts, and Soc Sci",History,"WOMEN ARTISTS IN RENAISSANCE EUROPE, 1400-1600","4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): restricted to class level standing of sophomore, junior, or senior. Surveys the lives and work of women artists in Renaissance Europe. Considers circumstances under which it was possible for women to become artists; how they evolved from practicing in the cloistered convent to participating in the competitive public market place; what they painted; and who their patrons were. Cross-listed with AHS 165, and GSST 170.",0,1,52
AHS 167,Undergraduate,202310,"Humanities, Arts, and Soc Sci",Art History,"EUROPE IN THE EARLY MODERN WORLD: GLOBAL ARTISTIC CONTACT AND EXCHANGE, 1492-1750","4 Units, Lecture, 3 hours; term paper, 3 hours. Prerequisite(s):  Restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. Explores trade, religious conversion, intersecting traditions, and the creation of new traditions. Examines the mechanisms and cultural consequences of change through time.    ",1,1,53
AHS 170,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Art History,BAROQUE ARCHITECTURE,"4 Units, Lecture, 3 hours; term paper, 3 hours. Prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. Examines the development of architecture in Europe and the Americas from 1580 to 1750.  Explores the concept of buildings and the city as a form of communication; the spread and reformulation of architectural ideas in new contexts; and the rise of the architectural profession.    ",1,1,54
AHS 171,Undergraduate,202210,"Humanities, Arts, and Soc Sci",Art History,"THE CHURCH, THE COURT, AND THE PEOPLE:  ART IN SEVENTEENTH-CENTURY EUROPE","4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. A study of the dominant trends and figures of Italian, French, Spanish, Flemish, and Dutch Baroque art. Includes the works of Caravaggio, Bernini, Velazquez, and Rembrandt. Emphasizes the development of illusionistic ceiling decoration, the theoretical basis of Baroque art, and the sacred and political uses of art.",1,1,55
AHS 176,Undergraduate,202320,"Humanities, Arts, and Soc Sci",Art History,TWENTIETH-CENTURY PHOTOGRAPHY 1900-1960,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior or senior standing; or consent of instructor. A critical overview of photographic practices in Europe and the United States in the first half of the twentieth century. Topics include pictorialism, the interwar avant-gardes, the rise of documentary, photojournalism, and street photography. Examines technological, conceptual, aesthetic, economic, and social issues. 
",1,1,56
AHS 179,Undergraduate,202340,"Humanities, Arts, and Soc Sci",Art History,"REVOLUTION, REACTION, AND REVISION: AMERICAN ART BETWEEN THE WORLD WARS","4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s):  Restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. An in-depth study of American art and visual culture during the early twentieth century, focusing on the period between the two world wars.  Traces artistic developments in painting, photography, cinema, and material culture. Explores the issues of race, class, gender, and regional identity as addressed in these media.    ",1,1,57
AHS 180,Undergraduate,202420,"Humanities, Arts, and Soc Sci",Art History,MODERN EUROPEAN ART I: NINETEENTH-CENTURY,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior. Surveys painting and sculpture in Europe from the French Revolution to the Franco-Prussian War. Introduces the ideas and concepts of modern European art. Traces artistic developments from Neoclassicism to the emergence of Impressionism in a broad cultural, social, and political context.    ",1,1,58
AHS 181,Undergraduate,202210,"Humanities, Arts, and Soc Sci",Art History,"MODERN ART II: ART IN EUROPE, 1870-1945","4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. Traces the history of the modern movement from Impressionism to the end of World War II. Focuses on the arts in their interrelationships to the political events and social conditions of the period. Emphasizes the persecution of modernism in Europe under fascism and communism.",1,1,59
AHS 182,Undergraduate,202410,"Humanities, Arts, and Soc Sci",Art History,VISUAL ART AND VISUAL THEORY AFTER 1945,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. Examines visual art since 1945 primarily from Europe and the United States.  Traces developments in all media within a historical and theoretical context. Focuses on the rise of postmodernism, analyzing work in relation to theories of representation and cultural identity.",1,1,60
